"Nv nhiệt tình, phòng ở sạch sẽ, tiện nghi, vị trí khá thuận tiện cho việc di chuyển đến các địa điểm ăn",positive
" Đi bộ ra biển gần, tiện đi lại",positive
"Tất cả mọi thứ đều sạch sẽ, giường ngủ rất thoải mái.",positive
" Giường sạch sẽ, thoải mái, đầy đủ thiết bị cần thiết, ăn cũng trang bị sẵn nếu bạn lười",positive
"ng ốc mới, sang trọng, giường thoải mái, sạch sẽ ",positive
"Phòng đẹp , sạch sẽ và gần biển . Nhân viên dễ thương .",positive
"Rộng rãi, sạch sẽ.",positive
" nhân viên vui vẻ nhiệt tình , giá cả hợp lý cho một khách sạn gần biển .",positive
"Phòng không có view biển như lúc đặt , Tv hay mất cáp .",negative
"Khăn tắm cũ, dơ. Đồ dùng trong toilet là đồ sử dụng lại. Không phải đồ nguyên seal",negative
Chỗ để xe hơi chật chọi,negative
Phòng tắm chưa chia được ko gian khô và ướt,negative
 Không có quạt điện mà chỉ có điều hòa nên có chút bất tiện.,negative
Phòng có gián,negative
"Ga giường không sạch, nhân viên quên dọn phòng một ngày.",negative
Tuyệt vời trên tất cả. Một kỳ nghĩ thú vị với tôi. Nhân viên thân thiện nhiệt tình. Phòng ốc sạch sẽ. Gần biển chỉ 3 phút đi bộ.tôi rất hài lòng về nơi này Rất tiếc là tôi không thể ở lâu hơn nữa,positive
"khi nhận phòng hơi mùi thuốc tẩy javen nên hơi ngạt thở, ở 2 hôm mới thấy đỡ mùi",negative
 khách sạn nhỏ nhưng rất đẹp và sang trọng ,neutral
Có chỗ trong phòng không bắt được wifi,neutral
 Phòng view biển nhưng cửa sổ view biển khá bé,neutral
 Nếu lần sau thay đổi thì mình sẽ đến lại vì giá ok.,positive
"Khách sạn mới xây, nội thất còn rất mới. Mình book được phòng nằm ngay tầng trệt, cửa gỗ khá chắc chắn. Wifi + nước mạnh,. Lễ tân nhiệt tình, vui vẻ, hôm đầu tiên vào nhận phòng lễ tân có nói rõ nước nào tính tiền và free (cảm giác khá rõ ràng), phòng rất sạch và thơm. Ngày nào đi chơi về cũng như có cô tấm mới xuất hiện :)) . Khách sạn cách cửa hàng tiện lợi vài ba căn, nằm rất gần biển (khoảng 5p đi bộ). Khách sạn còn cho gửi đồ lại dù đã trả phòng nữa. Cảm giác rất dễ chịu. ",positive
